Ad Unit Name,Size,Site,gamAdUnit,adyoulike.placement,appnexus.placement_id,kargo.placementId,nextMillennium.placement_id,pgamssp.placementId,seedtag.placement,seedtag.adUnitId,triplelift.inventoryCode,geniee.zoneId
left-rail-1,300x250,fellsims.com,fellsims.com/left-rail-1,0b6670e89fc5152f385f05dcace118a8,,,,15538,inBanner,37112764,,
left-rail-2,300x600,fellsims.com,fellsims.com/left-rail-2,d38c91963367413b19cac12175161fc7,,,,15539,inBanner,37112764,,
right-rail-1,300x250,fellsims.com,fellsims.com/right-rail-1,0b6670e89fc5152f385f05dcace118a8,,,,15540,inBanner,37112765,,
right-rail-2,300x600,fellsims.com,fellsims.com/right-rail-2,d38c91963367413b19cac12175161fc7,,,,15541,inBanner,37112765,,
video,300x169,fellsims.com,fellsims.com/video,,,,,,inStream,37112767,,
mobile-unit-(.*),300x250,fellsims.com,fellsims.com/mobile-unit,8d441d426adeaea9fc671c162e42adc1,,,,15543,inArticle,37112763,,
anchor,1000x100,fellsims.com,fellsims.com/anchor,3fdb35aaca880ae9a1c99299649805f0,,,,15544,inScreen,37112762,,
billboard-(.*),970x250,fellsims.com,fellsims.com/billboard,c3db67f8eb975055504bf15dd06fc439,,,,15545,inBanner,37112766,,
leaderboard-(.*),728x90,fellsims.com,fellsims.com/leaderboard,81cded6577753d91e46630a79d8142d6,,,,15546,inBanner,37112766,,
right-rail-1,300x250,gamepix.com,gamepix.com/right-rail-1,d38c91963367413b19cac12175161fc7,,_nufurzZIwT,56867,2767,inBanner,36380427,,
left-rail-2,300x600,gamepix.com,gamepix.com/left-rail-2,d38c91963367413b19cac12175161fc7,,_nufurzZIwT,56870,2766,inBanner,36380426,,
leaderboard,1000x100,gamepix.com,gamepix.com/leaderboard,3fdb35aaca880ae9a1c99299649805f0,,_n77VPWn1ko,56872,2769,,,,
left-rail-1,300x250,gamepix.com,gamepix.com/left-rail-1,d38c91963367413b19cac12175161fc7,,_nufurzZIwT,56869,2767,inBanner,36380426,,
bottom-sticky,1000x100,gamepix.com,gamepix.com/bottom-sticky,3fdb35aaca880ae9a1c99299649805f0,,,56871,2769,inScreen,36380425,,
interstitial,0x0,gamepix.com,gamepix.com/interstitial,,,,77207,14458,,,,
billboard,970x250,gamepix.com,gamepix.com/billboard,3fdb35aaca880ae9a1c99299649805f0,,,77083,14457,inBanner,36380426,,
right-rail-2,300x600,gamepix.com,gamepix.com/right-rail-2,d38c91963367413b19cac12175161fc7,,_nufurzZIwT,56868,2766,inBanner,36380427,,
video,400x225,gamepix.com,gamepix.com/video,,,,61064,,,,,
portals-right-rail-2,300x600,games.op.gg,games.op.gg/portals-right-rail-2,d38c91963367413b19cac12175161fc7,,_nufurzZIwT,56868,14434,inBanner,37125500,,
portals-right-rail-1,300x600,games.op.gg,games.op.gg/portals-right-rail-1,d38c91963367413b19cac12175161fc7,,_nufurzZIwT,56868,14433,inBanner,37125500,,
portals-left-rail-2,300x600,games.op.gg,games.op.gg/portals-left-rail-2,d38c91963367413b19cac12175161fc7,,_nufurzZIwT,56868,14436,inBanner,37125500,,
portals-leaderboard,970x90,games.op.gg,games.op.gg/portals-leaderboard,3fdb35aaca880ae9a1c99299649805f0,,_n77VPWn1ko,56872,14438,inBanner,37125501,,
